潮州频道,#genre#
潮州公共,http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8
潮州综合,http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8
广东频道️,#genre#
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
大湾区卫视,http://kxrj.site:998/123/mg.php?id=dwqws
佛山公共,http://113.100.72.190:8899/udp/239.253.43.53:5146
佛山公共,http://113.102.83.24:4022/udp/239.253.43.53:5146
佛山公共,http://113.109.251.4:9999/udp/239.253.43.53:5146
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山影视,http://113.100.72.190:8899/udp/239.253.43.56:5146
佛山影视,http://113.102.83.24:4022/udp/239.253.43.56:5146
佛山影视,http://113.109.251.4:9999/udp/239.253.43.56:5146
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山综合,http://113.100.72.190:8899/udp/239.253.43.57:5146
佛山综合,http://113.102.83.24:4022/udp/239.253.43.57:5146
佛山综合,http://113.109.251.4:9999/udp/239.253.43.57:5146
广东潮州民生,http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czggpd.m3u8
广东潮州综合,http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8#http://vod-zjst-time.sobeylive.com/czbtv2019/czzhpd.m3u8
广东民生,http://113.100.72.190:8899/udp/239.77.0.225:5146
广东民生,http://113.102.83.24:4022/udp/239.77.0.225:5146
广东民生,http://113.109.251.4:9999/udp/239.77.0.225:5146
广东民生,http://113.15.186.162:8181/tsfile/live/1002_1.m3u8
广东民生,http://219.159.194.172:8181/tsfile/live/1002_1.m3u8
